Shape_Leng,起点_1,起点_12,终点_1,终点_12,数量,time,日期,小时
893.178147083,114.125827612,22.677296722,114.118633168,22.680574178,3,2021-11-20,20211120,21
893.178147083,114.125827612,22.677296722,114.118633168,22.680574178,3,2021-11-20,20211120,21
893.178147083,114.125827612,22.677296722,114.118633168,22.680574178,3,2021-11-20,20211120,21
4943.36284476,114.058302673,22.645420249,114.054680539,22.604567301,5,2021-11-20,20211120,18
642.594595288,113.818512198,22.728164548,113.822121755,22.732319479,6,2021-11-20,20211120,8
642.594595288,113.818512198,22.728164548,113.822121755,22.732319479,6,2021-11-20,20211120,8
642.594595288,113.818512198,22.728164548,113.822121755,22.732319479,6,2021-11-20,20211120,8
985.031776002,114.123148846,22.547181096,114.11505267,22.550479002,4,2021-11-20,20211120,15
985.031776002,114.123148846,22.547181096,114.11505267,22.550479002,4,2021-11-20,20211120,15
1508.32714077,114.069949853,22.712810203,114.069953001,22.725308417,3,2021-11-20,20211120,18
1508.32714077,114.069949853,22.712810203,114.069953001,22.725308417,3,2021-11-20,20211120,18
539.100672746,114.019824282,22.659250379,114.015358464,22.657521631,3,2021-11-20,20211120,8
721.439910584,114.030544409,22.64774166,114.02429162,22.649314207,3,2021-11-20,20211120,18
909.496160485,114.220364549,22.749147605,114.228475666,22.748243579,4,2021-11-20,20211120,18
639.520211517,114.106049725,22.549674876,114.101546723,22.546380107,3,2021-11-20,20211120,11
639.520211517,114.106049725,22.549674876,114.101546723,22.546380107,3,2021-11-20,20211120,11
607.374270962,114.050207417,22.57036905,114.055588238,22.571203286,5,2021-11-20,20211120,1
2626.01067677,113.991198521,22.549005474,113.969647247,22.540145628,3,2021-11-20,20211120,17
669.459442313,113.941737594,22.578151438,113.93635265,22.575679155,3,2021-11-20,20211120,9
1665.51691725,114.121345983,22.553006705,114.115059752,22.540467517,3,2021-11-20,20211120,15
902.008537604,114.106916914,22.588036795,114.115019746,22.588013073,3,2021-11-20,20211120,15
758.595737706,113.943553588,22.558951569,113.949841928,22.561376518,3,2021-11-20,20211120,14
1873.7411178,114.319087622,22.678600232,114.333479617,22.686653801,3,2021-11-20,20211120,14
4656.61149501,113.856455476,22.613515768,113.826665357,22.640621801,3,2021-11-20,20211120,22
759.086415261,114.084413362,22.546650002,114.078104212,22.544260592,3,2021-11-20,20211120,16
759.086415261,114.084413362,22.546650002,114.078104212,22.544260592,3,2021-11-20,20211120,16
2582.41284212,114.154548285,22.620271881,114.132105411,22.614851977,3,2021-11-20,20211120,10
957.227628727,114.071795998,22.546865988,114.07990698,22.544228785,3,2021-11-20,20211120,10
4962.15804268,114.234788102,22.555656059,114.256294244,22.591709429,3,2021-11-20,20211120,12
951.514268146,113.917533359,22.490452147,113.909473185,22.48782336,3,2021-11-20,20211120,8
951.514268146,113.917533359,22.490452147,113.909473185,22.48782336,3,2021-11-20,20211120,8
735.815630852,113.845597295,22.712037565,113.839270771,22.713803853,3,2021-11-20,20211120,21
1742.99764053,114.023398573,22.650967897,114.017141896,22.664213385,3,2021-11-20,20211120,22
2826.46995181,114.073601666,22.539329483,114.048443964,22.53616038,7,2021-11-20,20211120,6
1459.41757972,114.168945485,22.64130786,114.181554082,22.637992994,6,2021-11-20,20211120,19
699.87211936,114.061875198,22.571170857,114.055588238,22.571203286,3,2021-11-20,20211120,15
705.432757327,113.846536816,22.634515052,113.842014475,22.630417736,3,2021-11-20,20211120,20
705.432757327,113.846536816,22.634515052,113.842014475,22.630417736,3,2021-11-20,20211120,20
639.633610287,114.101529474,22.56389779,114.105129761,22.56803306,5,2021-11-20,20211120,11
1118.6485187,114.106027335,22.571362215,114.101530379,22.563063686,3,2021-11-20,20211120,11
1118.6485187,114.106027335,22.571362215,114.101530379,22.563063686,3,2021-11-20,20211120,11
706.756724132,114.119523274,22.57718453,114.124021471,22.573047346,4,2021-11-20,20211120,10
3134.69400126,113.912188745,22.538786926,113.920241189,22.513862131,3,2021-11-20,20211120,11
891.573869717,114.290323563,22.689708825,114.283151356,22.69299746,3,2021-11-20,20211120,11
2083.65570288,113.905920572,22.522824593,113.917561915,22.536363231,3,2021-11-20,20211120,17
645.249288627,113.887084606,22.559245522,113.883497734,22.555040591,5,2021-11-20,20211120,20
4328.59045117,114.223086379,22.641621354,114.184260925,22.639646146,4,2021-11-20,20211120,11
697.124975968,114.001054342,22.547316571,114.00731662,22.547349316,3,2021-11-20,20211120,8
730.956549455,113.840208996,22.777936937,113.84382512,22.772883423,3,2021-11-20,20211120,13
642.824990499,114.241955212,22.689091427,114.237467153,22.685738962,3,2021-11-20,20211120,16
3351.48799303,114.223051987,22.698293628,114.241941793,22.719919806,3,2021-11-20,20211120,16
587.462839684,113.898743003,22.770302921,113.894262264,22.767732254,4,2021-11-20,20211120,20
915.32823629,114.009990428,22.634115896,114.016241282,22.629185246,3,2021-11-20,20211120,8
2493.17686301,113.860961046,22.600950382,113.876279027,22.585865225,3,2021-11-20,20211120,12
1113.60545706,113.921143885,22.525557965,113.930104229,22.521449107,5,2021-11-20,20211120,9
1608.76471781,114.051084355,22.704601096,114.051082213,22.717932325,3,2021-11-20,20211120,15
3845.02722252,113.799617907,22.701371008,113.795132286,22.732962095,3,2021-11-20,20211120,13
998.761660585,114.125828488,22.676463425,114.118632252,22.681407431,5,2021-11-20,20211120,16
998.761660585,114.125828488,22.676463425,114.118632252,22.681407431,5,2021-11-20,20211120,16
998.761660585,114.125828488,22.676463425,114.118632252,22.681407431,5,2021-11-20,20211120,16
998.761660585,114.125828488,22.676463425,114.118632252,22.681407431,5,2021-11-20,20211120,16
5178.15526041,113.865464063,22.815053689,113.889778069,22.778495609,3,2021-11-20,20211120,12
3163.04556169,114.125828488,22.676463425,114.138375346,22.699984536,3,2021-11-20,20211120,15
3163.04556169,114.125828488,22.676463425,114.138375346,22.699984536,3,2021-11-20,20211120,15
2283.01184514,113.872696634,22.565012836,113.858258224,22.578462083,3,2021-11-20,20211120,11
635.593149084,114.134817741,22.554842501,114.139308556,22.551586194,6,2021-11-20,20211120,9
2509.3242002,113.995677798,22.661571529,114.018035179,22.664225755,3,2021-11-20,20211120,17
807.525887723,114.127616135,22.684816899,114.120427923,22.68391666,4,2021-11-20,20211120,8
807.525887723,114.127616135,22.684816899,114.120427923,22.68391666,4,2021-11-20,20211120,8
807.525887723,114.127616135,22.684816899,114.120427923,22.68391666,4,2021-11-20,20211120,8
679.214707472,113.852860273,22.764412889,113.847439637,22.766995572,4,2021-11-20,20211120,18
942.097655474,114.006411272,22.671598791,114.010886783,22.664970872,3,2021-11-20,20211120,9
810.550894864,113.867296967,22.784240923,113.860080761,22.785136546,4,2021-11-20,20211120,7
668.845855847,114.045730103,22.750405459,114.051104087,22.747927408,4,2021-11-20,20211120,22
1048.55294661,114.115928347,22.686398388,114.118635855,22.678074362,3,2021-11-20,20211120,17
1048.55294661,114.115928347,22.686398388,114.118635855,22.678074362,3,2021-11-20,20211120,17
922.723175984,113.80773178,22.676467756,113.81403666,22.671502625,3,2021-11-20,20211120,9
4136.62402488,114.026977662,22.539260721,114.047521622,22.567857184,3,2021-11-20,20211120,20
1098.78315252,113.76911054,22.726670851,113.778979597,22.726828311,3,2021-11-20,20211120,13
920.841458619,114.10063262,22.55973761,114.106033383,22.565523719,7,2021-11-20,20211120,17
914.140010669,114.030544755,22.650242723,114.02250541,22.65178798,4,2021-11-20,20211120,8
609.822242404,114.216774404,22.649199862,114.211357464,22.648446353,4,2021-11-20,20211120,9
807.913949608,114.23927891,22.55900153,114.232989103,22.555657597,4,2021-11-20,20211120,20
807.913949608,114.23927891,22.55900153,114.232989103,22.555657597,4,2021-11-20,20211120,20
2682.73905512,113.936351225,22.577347257,113.958813753,22.585408269,4,2021-11-20,20211120,12
1044.87689435,113.918449066,22.645638559,113.91576358,22.653938833,5,2021-11-20,20211120,14
1044.87689435,113.918449066,22.645638559,113.91576358,22.653938833,5,2021-11-20,20211120,14
1006.71055466,114.06730105,22.534411049,114.058311576,22.535322207,3,2021-11-20,20211120,10
1006.71055466,114.06730105,22.534411049,114.058311576,22.535322207,3,2021-11-20,20211120,10
1003.08111383,113.79244172,22.693754255,113.801421444,22.69306405,3,2021-11-20,20211120,19
3202.61332062,114.151840808,22.69524483,114.126720587,22.682306431,3,2021-11-20,20211120,13
3202.61332062,114.151840808,22.69524483,114.126720587,22.682306431,3,2021-11-20,20211120,13
1114.87460348,114.017143799,22.660879482,114.021612217,22.652608171,3,2021-11-20,20211120,9
1107.11296156,114.026979216,22.531750688,114.018046577,22.535789315,5,2021-11-20,20211120,14
951.255114729,113.826663813,22.638120273,113.829375858,22.64559921,4,2021-11-20,20211120,11
1130.98717078,114.010896809,22.540707387,114.02072553,22.538331266,3,2021-11-20,20211120,18
707.822614123,114.106918245,22.693919705,114.111417488,22.698064788,3,2021-11-20,20211120,8
1049.40792327,113.787082368,22.765304868,113.796056537,22.767966567,3,2021-11-20,20211120,7
4527.52518581,114.014469943,22.543251329,114.05471389,22.54868327,3,2021-11-20,20211120,13
2152.48939261,113.923831577,22.525584468,113.941769506,22.518915864,3,2021-11-20,20211120,9
785.974811266,113.867286523,22.570037228,113.87269574,22.565846927,3,2021-11-20,20211120,8
808.258304942,114.006394571,22.740756124,114.01265518,22.744147531,3,2021-11-20,20211120,19
949.028769511,114.051132687,22.537002386,114.059209855,22.534483108,3,2021-11-20,20211120,13
949.028769511,114.051132687,22.537002386,114.059209855,22.534483108,3,2021-11-20,20211120,13
907.019477588,114.135701593,22.62074938,114.143779237,22.621734839,7,2021-11-20,20211120,20
698.252587879,114.289417186,22.728033168,114.283144841,22.72799199,3,2021-11-20,20211120,21
1768.78595401,114.02426071,22.736810393,114.014446139,22.748334586,3,2021-11-20,20211120,20
1509.44583568,114.067297371,22.519388505,114.056515577,22.526984154,3,2021-11-20,20211120,18
1025.01412631,114.257192875,22.735097317,114.261663331,22.72767275,3,2021-11-20,20211120,17
1128.1762773,114.334370506,22.695802945,114.343368352,22.691500464,4,2021-11-20,20211120,20
1003.90237039,113.873582809,22.580025065,113.880774929,22.58504864,3,2021-11-20,20211120,13
1003.90237039,113.873582809,22.580025065,113.880774929,22.58504864,3,2021-11-20,20211120,13
1991.27527479,114.06186755,22.738728567,114.070852866,22.724462554,3,2021-11-20,20211120,17
3814.04523816,113.842007483,22.751255454,113.812212556,22.73565457,3,2021-11-20,20211120,11
2480.17852061,113.906792562,22.792092522,113.886185853,22.784282948,3,2021-11-20,20211120,19
2480.17852061,113.906792562,22.792092522,113.886185853,22.784282948,3,2021-11-20,20211120,19
4019.08661954,113.796942985,22.681332796,113.773594384,22.706738843,3,2021-11-20,20211120,10
1400.27921368,114.001931607,22.67824186,113.989387635,22.679106352,3,2021-11-20,20211120,19
1325.8063644,113.913084881,22.527952805,113.914874805,22.538828535,3,2021-11-20,20211120,14
1325.8063644,113.913084881,22.527952805,113.914874805,22.538828535,3,2021-11-20,20211120,14
631.531942532,114.060075587,22.573685802,114.054690013,22.572039119,3,2021-11-20,20211120,6
1362.398322,113.870001339,22.559180889,113.881700263,22.55586152,3,2021-11-20,20211120,11
711.972456694,114.080806729,22.546715518,114.087119429,22.545766654,4,2021-11-20,20211120,18
2661.57492725,114.124040739,22.554697125,114.101546078,22.547214379,3,2021-11-20,20211120,17
2661.57492725,114.124040739,22.554697125,114.101546078,22.547214379,3,2021-11-20,20211120,17
1550.35858064,114.060976525,22.57117759,114.047521622,22.567857184,4,2021-11-20,20211120,20
939.790334222,114.097028136,22.558116442,114.089817844,22.554061042,3,2021-11-20,20211120,10
788.294792587,114.131198227,22.600659194,114.125808259,22.596419003,3,2021-11-20,20211120,17
642.76919542,114.176144947,22.636334609,114.180653464,22.639664102,3,2021-11-20,20211120,15
859.650529208,114.043071136,22.53028574,114.047547112,22.524472998,3,2021-11-20,20211120,7
859.650529208,114.043071136,22.53028574,114.047547112,22.524472998,3,2021-11-20,20211120,7
1138.67640583,113.832043505,22.719735985,113.838371295,22.727148934,3,2021-11-20,20211120,9
631.973141046,114.124032296,22.675611916,114.118636741,22.677241076,3,2021-11-20,20211120,21
631.973141046,114.124032296,22.675611916,114.118636741,22.677241076,3,2021-11-20,20211120,21
631.973141046,114.124032296,22.675611916,114.118636741,22.677241076,3,2021-11-20,20211120,21
631.973141046,114.124032296,22.675611916,114.118636741,22.677241076,3,2021-11-20,20211120,21
1209.67799,113.996566984,22.670737347,113.988492354,22.677447575,3,2021-11-20,20211120,12
1165.11193616,113.929203768,22.515602889,113.919349156,22.518859959,4,2021-11-20,20211120,11
586.016664682,114.112357951,22.543805818,114.115060136,22.539633148,3,2021-11-20,20211120,4
1360.86424699,114.114128755,22.686396674,114.124027876,22.679778338,3,2021-11-20,20211120,8
